Gene Name,"'Astrocytoma, Pilocytic' vs 'normal'.foldChange",'ependymoma' vs 'normal'.foldChange,'glioblastoma' vs 'normal'.foldChange,'medulloblastoma' vs 'normal'.foldChange
POU6F2,-0.9,-0.9,-0.8,-0.5
TSPAN13,-0.5,-2.1,-0.4,-0.5
RARRES2,1.9,0.7,0.8,-0.2
AGR2,,0.1,,-0.2
AHR,2.7,0.9,1.0,-0.5
GIMAP2,2.4,1.0,2.2,-0.1
TMEM176B,2.3,0.5,0.9,0.2
GLI3,-0.4,0.5,0.1,-0.4
MRPL32,0.2,-0.1,0.5,0.5
COA1,-0.1,-0.6,0.2,-0.3
BLVRA,0.3,0.3,0.6,0.2
URGCP,-0.5,-0.6,-0.3,-0.3
TMEM248,0.2,0.5,0.1,
STAG3L4,0.1,0.4,0.6,0.5
RHEB,-0.2,0.2,,
PRKAG2,-0.6,-0.7,-1.0,-0.4
AEBP1,2.1,1.7,1.6,0.4
POLD2,,0.6,0.4,0.5
MYL7,-0.6,-0.6,-0.5,-0.1
GCK,-0.7,-0.8,-0.7,-0.3
BCL7B,-0.3,-0.4,-0.1,-0.2
YKT6,0.3,0.3,0.8,0.3
TBL2,0.5,0.5,0.9,0.7
GALNTL5,-1.5,-1.4,-1.1,-1.4
CLIP2,0.7,0.4,0.4,-0.3
EIF4H,,,0.2,
LIMK1,-0.6,-1.0,-0.4,-0.8
SPATA6L,,0.3,,
SLC1A1,0.6,-2.8,-1.0,-3.2
LHX2,-1.0,-2.6,0.4,1.5
FKTN,0.3,0.2,0.4,0.1
FSD1L,-2.0,0.3,-1.2,0.2
SPIN1,-0.7,-0.1,-0.6,0.2
NMRK1,-0.4,-0.7,-0.7,-1.3
TMEM245,-0.4,-0.6,-0.7,-0.7
PRUNE2,,-1.5,-1.1,-3.3
MEGF9,-0.5,-0.7,-1.1,-0.6
TRIM14,2.6,1.2,2.2,-0.4
CORO2A,-0.4,-1.0,-0.4,-0.7
TGFBR1,2.0,1.6,1.9,2.3
SEC61B,0.6,0.7,0.8,0.8
C5,1.0,1.7,1.1,0.7
OGN,1.0,1.2,-1.0,0.6
ASPN,1.0,0.3,0.8,1.5
ECM2,1.9,4.0,1.6,0.6
TLE4,-0.6,0.2,-0.4,-0.7
LHX6,-1.3,-1.3,-1.2,-1.2
PTGR1,0.2,0.4,0.4,0.1
SUSD1,1.8,0.7,0.8,0.5
AMBP,-0.4,,-0.3,-0.2
AKNA,0.9,1.2,0.5,0.5
TNFSF8,0.4,0.2,0.3,0.1
DNM1,-2.4,-4.4,-3.0,-2.9
ENG,0.5,-0.1,0.2,-0.2
CDC37L1,-0.7,-0.7,-0.7,-0.6
RLN2,0.1,1.4,0.5,0.5
RLN1,,0.3,,-0.1
PLGRKT,0.9,1.1,1.1,1.2
TBC1D13,-0.3,-0.4,-0.3,-0.5
RIC1,-0.1,-0.3,-0.1,
KDM4C,-0.2,-0.5,-0.4,-0.3
DOCK8,2.3,0.9,1.2,-0.6
KANK1,1.8,0.7,1.0,-0.8
ELAVL2,-4.9,-3.8,-2.9,0.9
NCS1,-2.9,-2.2,-2.1,-2.0
TESK1,-0.7,-0.6,-0.6,-0.7
KCNT1,-0.3,-0.1,-0.2,-0.2
CA9,0.1,1.0,0.7,
FUBP3,1.0,0.8,1.0,0.3
TYRP1,-1.1,-0.5,-0.9,0.1
CREB3,,0.1,0.1,-0.2
RGP1,,-0.1,-0.1,0.2
MPDZ,0.6,1.1,0.5,
LHX3,0.2,0.2,0.3,0.1
EDF1,-0.3,,-0.1,0.2
PIP5K1B,-3.0,-3.3,-2.7,-4.1
GLIS3,1.5,2.8,1.1,-2.0
BAG1,-0.3,-0.7,-0.5,-0.3
RAPGEF1,0.1,0.3,0.1,0.3
APBA1,-0.6,-0.6,-0.7,-0.7
SETX,0.1,,,0.1
SH3GL2,-3.2,-5.1,-3.8,-1.2
ABCA2,-0.3,-0.8,-1.0,-1.3
SHB,0.3,0.2,0.1,0.5
UBE2R2,,,0.1,
ABHD17B,-0.4,-0.3,-0.3,0.1
EXOSC3,-0.2,,0.6,0.8
ZFAND5,-0.9,-0.4,-0.5,-0.1
DVL1,-0.7,-0.7,-0.9,-0.6
PDLIM1,0.9,1.6,1.1,0.5
CCNJ,0.8,0.6,0.9,2.0
DNTT,,-0.1,0.2,1.1
GATA3,-0.1,-0.3,0.2,-0.3
ATRNL1,-1.5,-3.3,-2.6,-2.6
HPS1,,-0.1,-0.3,-0.3
PHYH,0.2,-0.3,-0.3,-0.3
RASSF4,0.9,-0.7,-0.2,-1.4
DNMBP,1.0,0.5,0.7,-0.3
RAB11FIP2,-1.0,-1.2,-1.3,-1.0
CXCL12,0.2,-0.2,-0.6,0.2
ERLIN1,0.7,0.4,0.6,0.9
EIF3A,0.7,0.6,0.6,0.6
PKD2L1,-0.6,-0.5,-0.4,-0.5
CUBN,0.4,0.7,0.4,0.4
TRDMT1,0.8,1.4,0.5,0.7
DDX50,0.5,0.7,0.4,0.8
MAPK8,-1.1,-0.9,-0.9,0.7
SEC23IP,0.2,0.6,0.2,0.5
ATE1,0.2,-0.4,-0.2,
NSMCE4A,0.4,0.4,0.5,0.9
PLEKHA1,-1.0,-1.3,-1.1,-1.1
PALD1,1.3,0.6,0.7,-0.1
UNC5B,0.1,0.2,,0.2
CDH23,-0.4,0.2,-0.5,-0.2
VSIR,0.4,-0.1,-0.5,-1.8
SPOCK2,,-0.6,-1.4,-1.4
MICU1,-0.1,-0.7,-0.7,-0.4
PPP3CB,-1.7,-1.7,-2.1,-0.8
CCSER2,-0.5,-0.9,-0.9,-0.4
BMPR1A,1.2,0.8,0.7,0.7
MINPP1,0.6,0.3,0.5,0.9
ACTA2,0.7,1.3,0.8,0.3
LIPA,0.6,0.1,0.3,-0.4
TLX1,-0.7,-0.1,-0.3,-0.4
TWNK,0.1,0.4,0.5,0.8
LZTS2,0.4,0.4,0.3,0.2
SFXN3,-0.5,-0.7,-0.6,-0.9
KAZALD1,-0.1,0.5,,-0.1
FBXW4,-0.2,,-0.7,-0.7
FGF8,-0.6,-0.5,-0.6,-0.2
NPM3,0.3,0.1,0.5,0.1
TNKS2,,-0.5,-0.6,-0.3
PITX3,-0.4,-0.5,-0.5,-0.5
GBF1,0.1,-0.1,-0.3,-0.2
ARHGAP21,0.7,0.5,0.1,0.1
CPEB3,0.2,-1.4,-0.9,-1.3
FBXL15,-1.2,-1.4,-1.6,-1.3
CUEDC2,,,-0.1,0.2
SUFU,-0.3,-0.1,-0.4,0.1
ANKRD26,-0.4,-0.3,-0.4,-0.2
ACBD5,0.6,-0.1,-0.2,-0.7
LHPP,-0.5,-0.9,-1.3,-2.2
LARP4B,0.2,0.3,,0.4
GTPBP4,0.4,0.4,0.7,0.6
EDRF1,-0.2,-0.6,-0.2,0.3
BCCIP,0.2,-0.2,,-0.2
MTPAP,0.2,0.1,0.1,0.7
NEURL1,-1.7,-1.6,-1.5,-0.6
SH3PXD2A,-1.6,0.3,-1.0,-0.3
PITRM1,-0.6,-0.7,-0.7,-0.5
STN 1.00,0.1,,,-0.3
MAP3K8,1.1,1.0,0.6,-0.2
DKK 1.00,0.4,0.4,0.4,-0.6
EBF3,-0.4,-0.3,0.1,4.1
GLRX3,-0.1,-0.2,0.1,0.3
SORCS1,0.4,-2.8,-1.5,-3.2
TASOR2,0.6,0.7,0.8,1.5
XPNPEP1,0.4,0.4,0.5,0.3
SMC3,0.4,0.9,0.6,1.5
SHOC2,-0.4,-0.3,-0.6,-0.4
TFAM,0.4,0.4,0.6,1.0
CCDC6,,-0.2,-0.3,-0.3
CUL2,,-0.5,-0.3,0.1
CCNY,0.1,0.1,-0.2,-0.1
RPL28,0.5,0.5,0.6,0.6
ZMIZ1,0.6,0.4,,0.7
DNAJC12,-0.4,-2.8,-1.7,-1.3
PPIF,,0.6,-0.1,-0.3
PBLD,0.8,0.4,0.1,0.3
TSPAN14,-0.1,-0.2,-0.1,0.3
LGI1,-4.2,-1.1,-3.4,-3.5
TBC1D12,0.1,-0.7,-0.4,-0.2
CYP2C18,0.1,,,-0.3
KRT23,0.1,0.2,0.2,
CRYBA1,,,0.1,
NUFIP2,0.2,0.3,0.2,0.1
GIT1,-0.4,-0.6,-0.5,-0.4
RPL19,0.4,0.4,0.5,0.8
FBXL20,-0.6,-0.6,-0.9,
RUNDC3A,-3.2,-4.2,-3.4,-1.4
UBTF,-0.1,-0.1,-0.1,1.0
CSF3,-0.4,,-0.3,-0.3
PSMD3,-0.3,-0.1,,0.5
CASC3,0.2,0.5,0.1,0.9
RAPGEFL1,-1.5,-1.9,-1.6,-1.0
RGS9,0.1,1.6,-0.1,-0.1
RNF43,-1.0,2.4,-0.9,-0.7
WNT3,-0.7,0.5,,0.5
ASPA,-2.5,-0.6,-1.8,-2.8
RAD51C,-0.2,-0.5,0.2,0.2
SEPTIN4,0.3,0.4,0.4,0.4
SEPTIN4,-1.7,-2.5,-2.4,-2.7
MTMR4,-0.5,-0.4,-0.1,0.5
TRIM37,-1.3,-1.0,-1.0,-0.6
P2RX1,-0.1,0.1,,-0.1
DHX40,0.7,1.7,1.2,1.3
KRT37,0.3,0.2,0.2,0.3
TUBD1,0.2,0.3,0.3,0.8
KPNB1,0.4,0.4,0.6,0.7
GOSR2,0.5,0.5,0.5,0.7
PNPO,0.4,-0.2,-0.2,-0.7
RPS6KB1,-0.1,-0.6,-0.1,0.3
CBX1,-0.3,0.3,0.1,1.4
RECQL5,-0.2,-0.1,-0.1,-0.2
PIGL,-0.2,-0.1,-0.1,-0.4
GALK1,1.2,1.0,1.0,0.3
INTS2,,0.1,0.3,0.7
CAMTA2,-1.1,-1.8,-1.5,-1.8
MED13,0.1,-0.3,-0.1,0.6
HOXB6,0.6,0.3,0.3,0.5
ENO3,,0.3,0.7,0.4
PFN1,1.3,0.9,1.3,0.7
RNF167,-0.3,-0.3,-0.3,-0.6
SLC25A11,-0.1,-0.4,-0.4,-0.6
RASD1,-0.6,,-0.6,-0.7
CHRNE,-0.2,0.1,-0.1,0.2
RAI1,0.1,-0.1,-0.2,0.3
NUP88,0.7,0.5,1.0,1.2
C1QBP,0.1,0.3,0.5,0.5
SLC6A4,-0.2,-0.3,-0.2,-0.2
BLMH,0.3,0.3,0.3,1.0
CPD,0.3,,0.1,
GOSR1,-0.1,-0.1,-0.1,0.3
CCDC47,0.7,0.4,0.5,-0.1
MED31,-0.7,-0.3,-0.5,-0.6
DRG2,0.3,0.6,0.2,0.6
FTSJ3,0.4,0.5,0.7,0.7
AKAP10,-0.5,-0.8,-0.5,-0.6
ALDH3A1,-0.9,0.1,-0.7,-0.7
SMARCD2,0.4,0.3,0.1,0.3
ICAM2,-0.9,-1.4,-1.0,-1.5
SYNGR2,0.2,0.2,0.1,-0.4
B9D1,-0.2,1.1,-0.4,-0.4
UTP6,0.1,0.3,0.3,0.7
DDX5,-0.2,-0.1,-0.5,0.4
C17orf75,-0.5,0.2,,1.3
CYTH1,-0.5,-0.5,-0.4,
PSMD11,0.1,,0.1,0.5
LGALS3BP,2.2,1.9,1.7,1.5
ASIC2,-0.2,-2.1,-1.9,-1.8
CCL7,,0.5,0.2,-0.1
CCL2,3.3,3.2,1.9,0.6
CCL8,1.3,1.3,1.3,0.6
CCL1,-0.1,-0.1,-0.1,-0.1
PEX12,0.8,0.9,0.6,0.4
KRT32,-0.1,,,0.1
DHX58,-0.2,-0.1,-0.2,-0.6
KAT2A,-0.6,-0.5,-0.3,-0.4
RAB5C,0.4,-0.3,,-0.1
NAGLU,0.9,0.4,0.7,0.1
HSD17B1,-0.1,0.2,0.4,0.3
MLX,,-0.1,0.3,0.5
CNTNAP1,-1.0,-1.7,-1.5,-2.2
ABI3,0.4,,0.2,-0.4
EZH1,-0.5,-0.8,-1.0,-0.6
DLX4,-0.2,-0.2,-0.2,0.2
PPP1R9B,-0.5,-0.7,-0.8,-0.9
COL1A1,2.7,2.7,2.3,2.7
SGCA,-0.4,-0.1,-0.5,-0.5
MRPL27,-0.2,0.1,-0.1,0.1
VAT1,1.1,0.8,1.0,1.1
LRRC59,0.6,0.5,0.9,0.5
RND2,1.5,0.3,0.7,-0.6
ALOX12,,,0.1,-0.3
HDAC5,-0.7,-1.3,-1.1,-0.5
ABCC3,0.4,-0.1,0.1,-0.3
LUC7L3,0.2,0.2,0.2,0.8
PPY,-0.1,-0.3,-0.1,-0.2
MPP2,-1.3,-1.4,-1.4,-1.2
SMURF2,0.5,0.4,0.4,1.1
DUSP3,-1.2,-1.1,-1.2,-1.4
CACNG1,0.1,,0.1,-0.1
EFTUD2,0.4,0.3,0.7,0.7
HLF,-2.3,-3.4,-3.0,-2.1
SLC16A6,-1.1,-0.8,-0.7,-0.3
PRKAR1A,0.1,,-0.3,
EFNB3,-0.1,1.2,-0.5,
FAM20A,0.5,0.4,0.4,-0.2
YWHAE,0.2,,-0.2,-0.2
MMD,-0.7,-1.3,-0.6,-0.3
RANGRF,,,-0.2,-0.7
MAP2K6,,0.4,0.2,0.8
DHRS7B,0.6,0.7,0.3,
WSB1,0.7,0.5,0.7,1.0
RCVRN,-0.2,-0.1,-0.2,0.3
MYH1,-0.2,-0.2,-0.2,-0.2
SLC9A3R1,-0.7,0.4,-0.6,-1.2
MYH3,-0.3,-0.3,-0.3,-0.3
NAT9,-0.2,-0.2,-0.1,0.1
TMEM104,0.3,,0.2,-0.2
TNFAIP1,,0.1,,0.2
IFT20,-0.2,0.2,-0.1,0.3
TMEM97,0.5,0.2,0.7,1.7
CDR2L,-0.8,-1.0,-0.4,0.1
PMP22,0.6,0.8,0.4,-1.5
FOXN1,-0.1,-0.1,-0.1,-0.2
UNC119,-0.6,-0.2,-0.6,0.4
ALDOC,-0.7,-1.9,-2.3,-3.7
SUPT6H,0.1,-0.3,-0.1,
RAB34,1.0,1.1,0.8,0.6
PHF12,0.7,0.1,0.5,0.8
PHOX2B,-0.3,-0.3,-0.2,
TMEM33,-0.1,-0.2,,0.2
GABRA4,-1.6,-1.7,-1.5,-1.6
GNRHR,0.3,0.3,0.3,0.1
SLAIN2,-0.3,0.2,-0.1,-0.3
OCIAD1,-0.3,-0.3,-0.4,-0.2
CWH43,,0.6,0.2,
DCUN1D4,-0.6,-0.7,-0.3,0.1
USP46,-0.7,-1.0,-1.4,-1.8
SULT1E1,,,-0.2,
ODAM,-0.1,-0.1,-0.1,-0.1
SMR3A,-0.1,-0.1,-0.1,
CHIC2,0.5,0.8,1.0,1.0
NMU,-1.8,-0.6,,1.7
CRACD,0.6,0.6,0.6,0.6
LAMTOR3,0.4,0.9,0.6,0.7
PF4V1,0.3,0.6,,
NFKB1,0.7,0.5,0.6,0.3
AREG,-0.2,-0.4,-0.5,-1.0
MANBA,0.4,-0.3,0.3,-0.4
UBE2D3,0.3,0.5,0.5,0.6
MAPK10,-1.9,-2.0,-2.9,-2.5
ELF2,0.5,0.8,0.7,1.2
NDUFC1,,0.2,0.1,-0.3
UCP1,,,0.1,0.2
TBC1D9,-1.5,-1.3,-1.7,0.2
ZNF330,0.2,0.3,0.4,0.8
INPP4B,0.8,2.9,0.8,0.6
GAB1,1.6,1.1,1.2,1.3
KLHL2,-1.1,-1.6,-1.3,-1.6
IL2,,-0.1,-0.1,
CPE,-0.2,-0.7,-1.0,-0.1
RPL34,,0.1,0.1,0.3
WFS1,-1.1,0.5,-0.8,-1.4
ANXA10,0.4,0.3,0.3,0.3
GRPEL1,-0.6,-0.3,-0.2,-0.3
GAR1,0.7,0.9,0.9,0.8
CLCN3,0.4,-0.3,-0.1,-0.2
AADAT,0.4,,0.5,1.0
GALNT7,0.8,-0.2,0.3,-0.2
DHX15,0.5,0.5,0.7,1.0
SOD3,0.9,0.4,0.3,-0.4
SEPSECS,0.7,0.8,0.8,0.9
TRIM2,-0.6,-0.3,-0.9,-0.8
SLC2A9,-0.4,-0.2,-0.3,-0.2
FBXW7,-2.1,-2.1,-1.7,-1.8
NEIL3,0.2,0.8,1.8,2.2
TBC1D19,0.4,0.5,0.3,0.7
CLNK,-0.2,-0.3,-0.4,-0.4
NSD2,0.4,0.7,1.0,1.9
SH3D19,1.3,0.4,0.8,0.5
STIM2,0.5,-0.2,0.5,0.2
NKX3-2,0.2,,0.7,0.8
MFSD10,-0.4,0.1,,0.4
GLRB,,-1.6,-1.2,-0.8
BST1,1.3,0.1,0.8,0.2
RAPGEF2,-0.8,-1.1,-0.9,-0.9
HGFAC,-0.6,,-0.3,
SNX25,-0.9,-0.8,-0.8,-0.8
LRP2BP,-0.4,2.4,,0.3
UFSP2,0.3,0.4,0.3,0.1
KLF3,1.4,0.2,0.8,0.1
KLHL5,0.5,-0.4,0.1,-1.3
FAM149A,-0.6,-1.5,-1.0,-1.0
NCAPG,0.3,1.1,2.3,3.1
UGDH,2.2,0.8,1.6,1.3
PPARGC1A,-0.6,0.8,-0.7,-1.6
DDX25,-1.2,-1.2,-1.4,-0.7
CRYAB,0.5,-0.7,,-1.7
HTATIP2,0.3,-1.2,0.3,-1.4
CTSC,2.5,0.8,1.8,0.5
CCDC34,-0.9,0.5,0.3,0.9
ZBTB16,-0.5,-0.9,-1.7,-2.4
ELP4,0.1,0.7,-0.1,0.3
ZPR1,0.4,0.2,0.8,0.6
MTCH2,1.1,1.0,1.2,0.8
FNBP4,0.4,0.5,0.7,1.0
TECTA,-0.3,-0.3,-0.4,-0.1
SC5D,,-0.1,-0.5,-0.9
CRTAM,-1.3,-1.8,-1.4,-1.5
JHY,-0.7,2.2,,-1.0
B3GAT1,-0.7,-3.5,-1.4,-1.5
P2RX3,-0.2,-0.1,-0.1,
VWA5A,1.6,1.1,0.4,-0.7
DNAJC4,0.2,0.6,-0.1,0.2
SIAE,-0.4,-0.1,-0.7,-2.0
LPXN,1.2,0.7,0.9,0.2
DTX4,-0.7,-0.4,-0.8,-1.3
ATG2A,-0.2,0.1,-0.3,-0.2
EHD1,0.1,0.3,,
OSBP,-0.2,-0.3,-0.3,-0.3
UNC93B1,1.2,1.5,1.0,0.3
PUS3,0.5,0.2,0.6,0.5
DCPS,0.5,0.6,0.8,0.4
KMT5B,0.3,0.4,,0.7
FOXRED1,-0.9,-0.7,-0.5,-0.2
PPP6R3,0.3,0.3,0.5,0.7
NRXN2,-0.2,-1.8,-2.0,-1.7
MS4A6A,1.5,1.0,1.2,0.4
MS4A4A,1.3,0.5,1.1,-0.1
ST3GAL4,-0.9,-0.4,-0.4,-0.5
CPT1A,0.6,-0.4,-0.1,-1.2
CCND1,2.7,2.5,2.1,-0.6
CCDC86,0.4,0.2,0.5,-0.2
PRPF19,-0.4,,-0.2,0.1
TMEM109,0.3,0.5,0.2,-0.3
CCKBR,-1.7,-2.2,-1.9,-2.4
HPX,0.2,0.2,0.3,0.4
TRIM3,-0.8,-1.4,-1.1,-0.9
CHORDC1,-0.7,-0.8,-0.5,-1.1
FOLR1,0.7,3.2,0.9,0.3
ANAPC15,-0.5,-0.7,-0.5,-0.4
FOLR3,-0.1,-0.1,,-0.1
PANX1,0.8,0.7,0.9,0.8
ARHGEF17,,0.1,-0.5,-0.8
APOA5,0.1,,,
APOA4,-0.5,-0.5,-0.6,-0.4
APOC3,-0.1,-0.3,-0.1,-0.2
CEP164,0.1,0.4,0.2,0.6
RNF141,,,-0.5,-0.7
CEP126,-1.4,,-2.3,-2.7
EIF4G2,0.3,0.4,0.3,0.6
IL10RA,1.0,-0.2,0.3,-0.6
GALNT18,-1.5,-1.0,-1.0,-1.5
BIRC2,0.2,0.4,0.3,0.2
UBE4A,-0.1,,-0.1,0.1
DDX6,,0.3,-0.2,0.1
UPK2,-0.1,,,0.2
CBL,0.2,0.1,0.2,-0.2
NECTIN1,-1.0,-1.1,-0.9,-0.8
HIPK3,0.3,0.3,-0.2,-0.6
KIAA1549L,-2.7,-1.7,-2.8,-1.6
FBXO3,-0.1,0.1,-0.5,0.1
PDHX,-0.5,-0.5,-0.7,-0.5
SLC1A2,-0.9,-3.5,-2.2,-2.9
COMMD9,,,-0.2,-0.3
SLC15A3,1.0,0.6,0.7,-0.2
CD5,0.1,,0.1,0.1
ACCS,0.7,1.1,0.7,0.4
SCGB2A2,0.2,0.1,0.1,
AMBRA1,-0.4,-0.4,-0.4,
MADD,-1.1,-1.4,-1.3,-0.8
PTPMT1,0.4,0.6,0.1,-0.4
NAA40,0.3,0.6,0.5,1.2
CARS1,0.2,-0.3,0.2,-0.4
SLC22A18,0.9,-0.1,0.6,-0.6
CD81,0.9,0.8,0.3,-0.6
SLC35F2,0.9,1.3,1.0,1.2
C11orf21,0.1,0.1,0.3,-0.1
ELMOD1,-1.3,-3.8,-2.4,-4.2
CALCA,-0.1,0.1,0.1,0.4
SOX6,2.6,0.9,1.7,-0.8
C11orf58,-0.2,-0.3,-0.5,0.5
PITPNM1,-1.4,-0.6,-1.3,-1.7
AIP,-0.4,-0.4,-0.4,-0.1
NUP98,0.1,0.3,0.3,0.5
NDUFS8,-0.1,-0.2,-0.1,-0.3
CHKA,-0.3,-0.5,-0.2,
EXPH5,-1.1,1.3,-1.2,0.5
HPS5,1.1,0.8,0.8,0.7
GTF2H1,-0.3,-0.4,-0.1,
POU2AF1,,1.0,0.1,
PTPN5,-2.8,-3.6,-2.2,-1.8
VWF,0.8,0.5,0.2,0.3
PSMD9,0.1,-0.3,0.2,0.2
P3H3,0.3,0.1,0.1,0.6
PPFIBP1,0.9,,0.4,-0.7
PRPF40B,-0.2,0.1,-0.2,
CD69,2.7,1.3,1.7,0.1
PRDM4,-0.5,-0.4,-0.2,0.1
CLEC2B,1.9,1.2,1.7,0.1
SELPLG,1.3,,0.3,-0.9
CORO1C,0.9,0.5,1.5,1.2
ASIC1,0.9,-0.3,-0.5,0.6
DAO,-0.9,0.9,-1.1,-0.7
CAPRIN2,-0.4,-0.7,-0.3,-0.3
TSPAN11,1.9,1.0,1.4,0.4
KCTD10,0.1,-0.4,-0.1,0.4
SLC11A2,0.5,-0.1,0.2,-0.5
MLEC,1.0,0.7,0.8,0.1
MVK,0.3,0.2,0.1,0.2
CSRNP2,-0.7,-1.1,-0.6,0.1
CAMKK2,-1.9,-2.2,-1.6,-1.3
BIN2,0.8,0.2,0.6,-0.5
IL23A,-0.4,-0.1,-0.2,-0.2
ATP5F1B,-0.2,-0.1,,0.3
PTGES3,0.1,0.3,0.3,0.4
BCL7A,-1.0,-1.1,-0.5,1.0
RSRC2,-0.1,0.2,,0.4
CYP27B1,0.3,0.1,1.1,0.8
MYF6,-0.3,-0.3,-0.2,-0.2
MYF5,-0.2,-0.2,-0.2,-0.2
LIN7A,-1.3,-1.4,-1.9,-2.6
KRT18,-0.6,-0.3,-0.3,-0.2
ACSS3,0.5,0.5,0.3,-2.2
TNS2,0.5,-0.4,-0.4,-0.7
GLI1,-0.2,,0.1,0.3
PPM1H,-2.6,-3.2,-2.7,-1.7
METAP2,0.9,0.8,0.8,0.9
LTA4H,,0.3,0.1,0.5
ELK3,2.2,1.3,1.8,1.1
SLC6A12,-0.5,0.1,-0.1,-0.6
WNT5B,-0.3,0.5,-0.2,0.5
MAGOHB,0.6,0.2,1.1,0.9
TRPV4,,-0.2,-0.1,-0.1
ITFG2,0.1,-0.3,0.1,0.3
FOXM1,0.9,1.4,3.0,3.3
PRMT8,-2.4,-1.8,-2.1,-1.1
PARP11,0.6,0.3,0.7,0.7
ARPC3,-0.2,-0.4,-0.2,0.1
GPN3,,-0.1,0.2,0.2
VPS29,-0.1,-0.2,,0.1
FGF6,,-0.2,,-0.1
MYL2,-0.3,-0.3,-0.2,-0.1
RAD51AP1,0.8,1.1,2.6,2.9
CUX2,-5.2,-3.1,-4.3,-0.7
SH2B3,1.0,,0.7,-0.7
AKAP3,0.2,0.4,0.1,-0.3
MANSC1,0.1,0.1,,-1.1
KCNA1,-2.2,-3.8,-3.0,-1.4
DUSP16,0.4,0.7,0.8,0.7
CREBL2,,-0.4,-0.4,-0.1
ACAD10,-0.4,-0.2,-0.3,
ALDH2,-0.7,-0.2,-1.3,-1.6
CDKN1B,-0.1,0.1,0.1,0.5
GPRC5D,,,0.1,
NAA25,-0.1,-0.1,0.3,0.5
GSG1,-1.1,-1.2,-1.2,-0.6
SCNN1A,-0.5,-0.5,-0.6,-0.6
LTBR,0.9,-0.2,0.2,-0.4
CDK2AP1,0.7,0.8,0.7,0.5
OAS3,1.2,1.2,1.5,0.6
OAS2,1.2,1.0,1.3,0.2
ART4,,0.1,0.2,0.1
MGP,2.1,1.0,1.5,2.5
RASAL1,-1.3,-1.0,-1.1,-1.3
ARHGDIB,1.7,0.8,1.2,0.1
GTF2H3,0.2,0.4,0.4,0.4
EIF2B1,0.2,0.1,0.6,0.7
DDX55,0.2,0.3,0.8,1.3
SLC38A1,-0.1,-2.0,-0.8,0.1
RERGL,-0.6,-0.7,-0.4,-0.8
ENDOU,-0.7,0.2,-0.5,-0.9
SPRING1,-0.1,-1.2,-0.1,-0.4
VDR,-0.3,-0.2,-0.3,-0.2
FZD10,0.4,1.2,,0.4
RFC5,-0.9,-0.8,-0.8,-0.4
STX2,0.3,0.8,0.5,0.6
ADGRD1,0.1,1.7,-0.2,-0.1
COPZ1,0.4,0.5,0.5,0.6
TBC1D30,-2.5,-2.2,-2.6,
CAND1,-0.2,,,0.6
IL26,,,-0.1,0.3
IFNG,0.1,0.1,0.2,0.2
RAB5B,0.3,-0.1,-0.2,-0.1
MDM1,0.3,1.5,0.9,0.8
NUP107,0.7,1.2,1.5,1.9
CNOT2,0.5,0.1,0.2,0.5
TIMELESS,0.4,0.8,1.8,2.7
CPSF6,0.6,0.6,0.8,0.9
KRR1,0.3,0.4,0.4,0.2
MRPL51,0.1,0.3,0.4,0.2
GAPDH,,0.1,0.1,-0.3
CHD4,0.1,0.3,0.2,0.5
ACRBP,,0.1,,0.7
UHRF1BP1L,-0.4,-0.8,-0.7,-0.7
COPS7A,-0.3,-0.6,-0.5,-0.9
ING4,-0.2,-0.1,,0.5
GNB3,-0.6,-0.6,-0.5,0.4
CDCA3,0.5,1.2,2.1,2.2
CHPT1,0.1,-0.5,,-1.4
USP5,,0.1,,
TPI1,-0.4,-0.4,-0.1,-0.6
GNPTAB,1.2,-0.6,-0.2,-0.4
SPSB2,0.5,0.9,0.5,0.2
ENO2,-1.9,-1.6,-1.3,-0.7
ATN1,0.3,0.4,,0.2
PTPN6,0.7,,0.3,-0.6
LPCAT3,0.4,0.8,0.3,0.4
NT5DC3,-0.4,-0.8,-0.7,-1.3
SLCO1B3,,,-0.1,
APOBEC1,,-0.1,-0.1,-0.1
NANOG,-0.1,,,0.1
SUDS3,-0.3,-0.2,-0.1,0.5
GOLT1B,0.3,-0.4,0.2,
LDHB,,-0.5,-0.2,-0.7
PRKAB1,0.4,0.2,0.5,0.6
CMAS,-1.1,-0.9,-1.0,-0.5
HCFC2,0.3,-0.3,-0.1,-0.1
ST8SIA1,0.7,0.8,0.3,-0.8
C2CD5,-0.5,-0.6,-0.5,0.3
AICDA,0.2,0.2,0.3,0.1
RAB35,-0.2,-0.4,-0.2,-0.1
PHC1,0.1,0.3,0.3,1.2
RFX4,-0.6,1.6,-0.1,-3.7
RIC8B,-0.3,,-0.1,0.1
SRSF9,0.4,0.6,0.8,0.9
FGFR1OP2,-0.8,-1.1,-0.8,-0.8
KLRB1,0.9,0.3,0.4,0.1
COL12A1,1.1,-0.4,0.2,
BTN3A3,2.3,1.2,1.0,-0.2
TDP2,-0.3,-0.3,-0.4,-0.2
FRK,-0.3,-0.2,-0.2,-0.5
DSE,1.4,1.3,1.0,1.4
RWDD1,0.3,0.1,0.1,0.1
RSPH4A,,3.1,0.2,0.1
MAK,,3.1,0.3,2.1
TMEM14C,0.7,0.8,0.8,0.7
PAK1IP1,0.3,-0.1,0.5,0.4
